chunksize,conns,delta
33554432,18,0.021630049
33554432,17,0.02331996
33554432,16,0.022030115
33554432,15,0.022049904
33554432,14,0.019970179
33554432,13,0.020629883
33554432,12,0.020390034
33554432,11,0.021090031
33554432,10,0.019639969
33554432,9,0.021290064
33554432,8,0.018379927
33554432,7,0.020250082
33554432,6,0.019799948
33554432,5,0.01789999
33554432,4,0.01741004
33554432,3,0.017050028
33554432,2,0.017240047
33554432,1,0.021559954
16777216,50,0.044430017
16777216,49,0.041199923
16777216,48,0.040030003
16777216,47,0.040570021
16777216,46,0.038899899
16777216,45,0.038510084
16777216,44,0.045440197
16777216,43,0.037410021
16777216,42,5.023840189
16777216,41,0.040920019
16777216,40,0.03895998
16777216,39,0.036170006
16777216,38,0.034610033
16777216,37,0.035840034
16777216,36,0.035470009
16777216,35,0.037490129
16777216,34,0.033030033
16777216,33,0.032330036
16777216,32,0.031630039
16777216,31,0.031879902
16777216,30,0.031769991
16777216,29,0.030939817
16777216,28,0.02741003
16777216,27,0.026989937
16777216,26,0.027980089
16777216,25,0.027230024
16777216,24,0.025669813
16777216,23,0.035820007
16777216,22,0.026219845
16777216,21,0.026260138
16777216,20,0.027109861
16777216,19,0.02624011
16777216,18,0.028199911
16777216,17,0.026279926
16777216,16,0.02617979
16777216,15,0.025660038
16777216,14,0.023979902
16777216,13,0.024549961
16777216,12,0.03151989
16777216,11,0.022439957
16777216,10,0.021179914
16777216,9,0.031719923
16777216,8,0.019769907
16777216,7,0.02177
16777216,6,0.020460129
16777216,5,0.019450188
16777216,4,0.0207901
16777216,3,0.025619984
16777216,2,0.01887989
16777216,1,0.019880056
8388608,50,0.045589924
8388608,49,0.046480179
8388608,48,0.04625988
8388608,47,0.052919865
8388608,46,0.042189837
8388608,45,0.04234004
8388608,44,0.051259995
8388608,43,0.041569948
8388608,42,0.041960001
8388608,41,0.039350033
8388608,40,0.035640001
8388608,39,0.037699938
8388608,38,0.033629894
8388608,37,0.035540104
8388608,36,0.037149906
8388608,35,0.036109924
8388608,34,0.042960167
8388608,33,5.020940065
8388608,32,0.032949924
8388608,31,0.029629946
8388608,30,0.030009985
8388608,29,0.032209873
8388608,28,0.031299829
8388608,27,0.03599
8388608,26,0.03173995
8388608,25,0.030770063
8388608,24,0.029730082
8388608,23,0.026989937
8388608,22,0.239720106
8388608,21,0.025219917
8388608,20,0.03181982
8388608,19,0.024349928
8388608,18,0.024159908
8388608,17,0.030489922
8388608,16,0.02662015
8388608,15,0.02541995
8388608,14,5.017689943
8388608,13,0.022720098
8388608,12,0.021939993
8388608,11,0.022619963
8388608,10,0.022279978
8388608,9,0.022320032
8388608,8,0.020639896
8388608,7,0.026910067
8388608,6,0.021670103
8388608,5,0.018769979
8388608,4,0.01872015
8388608,3,0.021810055
8388608,2,0.017910004
8388608,1,0.020030022
4194304,50,0.040970087
4194304,49,0.046499968
4194304,48,5.029920101
4194304,47,0.044759989
4194304,46,0.039609909
4194304,45,0.047820091
